"","filename","ATTRIBUTE_CollectionNumber","ATTRIBUTE_Family","ATTRIBUTE_Genus","ATTRIBUTE_Species","ATTRIBUTE_Genus_species","ATTRIBUTE_SpeciesCode","ATTRIBUTE_Latitude","ATTRIBUTE_Longitude"
"1996","MD02069.mzXML","LC-6059","Clusiaceae","Symphonia","globulifera","Symphonia_globulifera","sym1glo",-14.1892,-68.3339
"1997","MD02070.mzXML","LC-6201","Clusiaceae","Garcinia","madruno","Garcinia_madruno","garmad",-14.1892,-68.3339
"1998","MD02071.mzXML","LC-6130","Lauraceae","Ocotea","subrutilans","Ocotea_subrutilans","ocosub",-14.1892,-68.3339
"1999","MD02072.mzXML","LC-6078","Sapotaceae","Pouteria","baehniana","Pouteria_baehniana","pou3bae",-14.1892,-68.3339
"2000","MD02073.mzXML","LC-6089","Sapotaceae","Pouteria","baehniana","Pouteria_baehniana","pou3bae",-14.1892,-68.3339
"2001","MD02074.mzXML","LC-6077","Euphorbiaceae","Mabea","anadena","Mabea_anadena","mabana",-14.1892,-68.3339
"2002","MD02075.mzXML","LC-6080","Myristicaceae","Virola","peruviana","Virola_peruviana","virper",-14.1892,-68.3339
"2003","MD02076.mzXML","LC-6079","Lauraceae","Ocotea","aciphylla","Ocotea_aciphylla","ocoaci",-14.1892,-68.3339
"2004","MD02077.mzXML","LC-6133","Elaeocarpaceae","Sloanea","pubescens","Sloanea_pubescens","slopub",-14.1892,-68.3339
"2005","MD02078.mzXML","LC-5989","Melastomataceae","Miconia","splendens","Miconia_splendens","mic1spl",-14.1892,-68.3339
"2006","MD02079.mzXML","LC-6136","Melastomataceae","Miconia","aureoides","Miconia_aureoides","mic1aur",-14.1892,-68.3339
"2007","MD02080.mzXML","LC-6125","Phyllanthaceae","Amanoa","oblongifolia","Amanoa_oblongifolia","ama2obl",-14.1892,-68.3339
"2008","MD02081.mzXML","LC-6074","Aquifoliaceae","Ilex","petiolaris","Ilex_petiolaris","ilepet",-14.1892,-68.3339
"2009","MD02082.mzXML","LC-6088","Elaeocarpaceae","Sloanea","fendleriana","Sloanea_fendleriana","slofen",-14.1892,-68.3339
"2010","MD02083.mzXML","LC-6145","Rubiaceae","Ladenbergia","oblongifolia","Ladenbergia_oblongifolia","ladobl",-14.1892,-68.3339
"2011","MD02084.mzXML","LC-6075","Rubiaceae","Ferdinandusa","chlorantha","Ferdinandusa_chlorantha","ferchl",-14.1892,-68.3339
"2012","MD02085.mzXML","LC-6144","Myrtaceae","Myrcia","sintenisii","Myrcia_sintenisii","myr2sin",-14.1892,-68.3339
"2013","MD02086.mzXML","LC-6076","Clusiaceae","Tovomita","obovata","Tovomita_obovata","tovobo",-14.1892,-68.3339
"2014","MD02087.mzXML","LC-6126","Melastomataceae","Miconia","splendens","Miconia_splendens","mic1spl",-14.1892,-68.3339
"2015","MD02088.mzXML","LC-6127","Melastomataceae","Miconia","splendens","Miconia_splendens","mic1spl",-14.1892,-68.3339
"2016","MD02089.mzXML","LC-6038","Chrysobalanaceae","Licania","boliviensis","Licania_boliviensis","lic1bol",-14.1892,-68.3339
"2017","MD02090.mzXML","LC-6159","Lauraceae","Persea","areolatocostae","Persea_areolatocostae","per6are",-14.1892,-68.3339
"2018","MD02091.mzXML","LC-6128","Rubiaceae","Ladenbergia","carua","Ladenbergia_carua","ladcar",-14.1892,-68.3339
"2019","MD02092.mzXML","LC-6200","Moraceae","Helicostylis","tomentosa","Helicostylis_tomentosa","hel2tom",-14.1892,-68.3339
"2020","MD02093.mzXML","LC-6210","Rubiaceae","Condaminea","corymbosa","Condaminea_corymbosa","con1cor",-14.1892,-68.3339
"2021","MD02094.mzXML","LC-6208","Euphorbiaceae","Hevea","guianensis","Hevea_guianensis","hevgui",-14.1892,-68.3339
"2022","MD02095.mzXML","LC-6198","Melastomataceae","Miconia","poeppigii","Miconia_poeppigii","mic1poe",-14.1892,-68.3339
"2023","MD02096.mzXML","LC-6197","Melastomataceae","Miconia","poeppigii","Miconia_poeppigii","mic1poe",-14.1892,-68.3339
"2024","MD02097.mzXML","LC-6087","Melastomataceae","Miconia","dolichorrhyncha","Miconia_dolichorrhyncha","mic1dol",-14.1892,-68.3339
"2025","MD02098.mzXML","LC-6086","Melastomataceae","Miconia","aureoides","Miconia_aureoides","mic1aur",-14.1892,-68.3339
"2026","MD02099.mzXML","LC-6085","Rubiaceae","Ladenbergia","carua","Ladenbergia_carua","ladcar",-14.1892,-68.3339
"2027","MD02100.mzXML","LC-6081","Lauraceae","Pleurothyrium","LC-4542","Pleurothyrium_LC-4542","ple3LC4542",-14.1892,-68.3339
"2028","MD02101.mzXML","LC-6124","Lauraceae","Ocotea","puberula","Ocotea_puberula","ocopub",-14.1892,-68.3339
"2029","MD02102.mzXML","LC-5991","Rubiaceae","Elaeagia","mariae","Elaeagia_mariae","elamar",-14.1892,-68.3339
"2030","MD02103.mzXML","LC-6109","Fabaceae","Tachigali","alba","Tachigali_alba","tac2alb",-14.1892,-68.3339
"2031","MD02104.mzXML","LC-6061","Moraceae","Pseudolmedia","laevigata","Pseudolmedia_laevigata","pse2lae1",-14.1892,-68.3339
"2032","MD02105.mzXML","LC-6082","Monimiaceae","Mollinedia","ovata","Mollinedia_ovata","molova",-14.1892,-68.3339
"2033","MD02106.mzXML","LC-6083","Phyllanthaceae","Amanoa","oblongifolia","Amanoa_oblongifolia","ama2obl",-14.1892,-68.3339
"2034","MD02107.mzXML","LC-6084","Burseraceae","Dacryodes","sudyungasensis","Dacryodes_sudyungasensis","dacsud",-14.1892,-68.3339
"2035","MD02108.mzXML","LC-6195","Melastomataceae","Miconia","poeppigii","Miconia_poeppigii","mic1poe",-14.1892,-68.3339
"2036","MD02109.mzXML","LC-6194","Hypericaceae","Vismia","glabra","Vismia_glabra","visgla",-14.1892,-68.3339
"2037","MD02110.mzXML","LC-6092","Rubiaceae","Ladenbergia","oblongifolia","Ladenbergia_oblongifolia","ladobl",-14.1892,-68.3339
"2038","MD02111.mzXML","AF-20009","Sapotaceae","Pouteria","AF-15574","Pouteria_AF-15574","pou3AF15574",-14.1892,-68.3339
